"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')","('Win Shares (Best to Worst)', '20')","('Win Shares (Best to Worst)', '21')","('Win Shares (Best to Worst)', '22')"
Russell Westbrook,,14.0,13.1,11.6,10.6,10.1,9.4,7.9,6.8,6.1,5.2,4.2,3.7,2.1,1.9,1.9,1.9,1.7,,,,,
Dwyane Wade,89.2,14.7,14.4,13.0,12.8,11.0,9.6,8.8,7.7,5.5,4.9,4.6,3.5,3.4,3.3,2.4,1.1,,,,,,
Terry Porter,88.0,13.0,11.7,10.6,9.8,9.2,8.8,6.8,5.6,5.4,5.4,5.2,5.0,3.7,3.5,2.7,2.3,1.7,,,,,
Chauncey Billups,86.7,15.5,13.5,12.1,11.4,11.3,10.1,9.9,9.5,8.0,7.6,3.7,3.0,2.3,1.7,1.3,0.1,-0.3,,,,,
Allen Iverson,86.3,11.8,11.6,10.6,9.2,9.0,9.0,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7,,,,,,,,
Kevin Johnson,86.0,12.7,12.2,11.7,11.6,10.0,8.7,8.2,5.1,4.8,4.0,3.5,0.5,,,,,,,,,,
Manu GinÃ³bili,85.5,11.1,11.0,10.6,9.9,9.7,9.1,8.8,5.7,5.0,4.5,4.2,4.2,3.8,3.7,3.0,2.2,,,,,,
Vince Carter,84.7,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7.0,6.0,6.0,5.0,4.3,4.2,4.0,3.8,2.9,1.9,1.8,1.2,1.0,-0.2
Tracy McGrady,84.5,16.1,12.2,12.0,11.5,8.6,8.4,6.6,5.8,4.1,3.3,2.7,2.1,2.0,1.6,0.3,,,,,,,
Steve Nash,84.5,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3.0,1.0,0.7,0.1,,,,
Damian Lillard,83.7,12.6,12.1,11.6,10.6,10.4,10.4,9.6,9.2,9.0,7.7,7.6,5.8,1.7,,,,,,,,,
